Region,Type,Community Cluster,Code,Description,S,A1,A2,B1,B2,C1,C2,D1,D2,E1,E2,F1,F2
Lowland,Suburb,Grassroots,E2,Suburban trade and self-employment zone. NS-SEC L8-L9 (E1) and L10-L11 (D1) elevated. EHS: C2 owner-occupied prominent outside London. Consistent with Hard-Pressed Living pen portrait characteristics of skilled trade employment.,0,0,1,1,1,5,2,22,1,35,4,13,15
Lowland,Suburb,Deprived,F1,,0,0,0,1,2,2,2,13,0,15,2,42,21
Lowland,Town,Mixed New Town,B2,"New towns: OAC Suburbanites and Peri-Urbanites mix. EHS: public sector employment prominent (C1 = nurses, teachers, council). D1 from manufacturing/trade original base. F1 at national average consistent with planned mixed-income intent.",2,2,1,5,2,21,12,18,2,15,4,6,10
Lowland,Town,Professional,C1,OAC Peri-Urbanites / Suburbanites in market town context. EHS owner-occupier NS-SEC: 25% higher + 33% lower managerial. IMD: market towns typically IMD quintile 3-4. ASG AB above national average. A1/B1/C2 dominant from local professional base.,2,7,5,10,2,20,18,10,1,10,5,2,8
Lowland,Town,Middle Class,C2,OAC 2021 Retired Professionals supergroup in coastal context — Wyszomierski 2023 identifies this as key new 2021 category in coastal/outlying areas. IDAOPI elevated. Working-age service economy (C1/D1/E1) supports retirees. F1 from pension poverty.,3,2,2,4,2,21,17,11,1,9,9,6,13
Lowland,Town,Working-Class,D2,,0,0,2,3,1,5,3,29,4,21,5,11,16
Lowland,Town,Mixed Rural Town,E1,Largest rural settlement. OAC Rural & Outlying Areas with service function. Broad NS-SEC mix per EHS rural data. D1 from agriculture/trade; C1 from public services; E1 from self-employed rural traders; moderate F1 from rural hidden poverty (IMD 2025 rural deprivation domain).,2,2,1,3,2,8,5,20,0,17,4,10,26
Lowland,Town,Deprived,F1,OAC Hard-Pressed Communities in coastal context. IMD 2025: coastal towns among most deprived LSOAs. EHS social renters: 53% semi-routine/routine. ACORN urban adversity. Seasonal E1 from tourism/hospitality. F1 at 52% consistent with IMD bottom quintile concentration.,0,0,1,0,2,3,2,5,0,12,4,46,25
Lowland,Inner City,Student Campus,UNI,Zone surrounding major university campus. OAC 2021 'Low-Skilled Migrant and Student Communities' captures the polar distribution of educational outcomes. EHS 2021-22 confirms private rent dominant. B2 peaks at 45%; B1 elevated from academic staff; F1 from low-income non-student residents.,3,1,4,20,41,6,3,2,3,4,7,4,2
Lowland,Outer City,Student Campus,UNI,Zone surrounding major university campus. OAC 2021 'Low-Skilled Migrant and Student Communities' captures the polar distribution of educational outcomes. EHS 2021-22 confirms private rent dominant. B2 peaks at 45%; B1 elevated from academic staff; F1 from low-income non-student residents.,3,1,4,16,45,6,3,2,3,4,7,4,2
Lowland,Suburb,Student Campus,UNI,Zone surrounding major university campus. OAC 2021 'Low-Skilled Migrant and Student Communities' captures the polar distribution of educational outcomes. EHS 2021-22 confirms private rent dominant. B2 peaks at 45%; B1 elevated from academic staff; F1 from low-income non-student residents.,2,1,4,20,44,5,3,2,3,3,7,4,2
